EMPID,Status,Function,Division,Union Status,Employment Category,Rehire_Date,Total Service Date,Birth Date,Age,Generation,Pay Scale Group,Gender,Ethnic Origin,Action Reason,Last Performance Rating,Last Potential Rating,Rehired,Employee Pay Frequency,ExemptTF,Employee Pay Basis,Manager_ID,Months Since Last Hire,Tenure_Months,Action Change Date,Action Type
20576,Terminated,Customer Care,Customer Care,Non-Union,Regular Employee FT,,9-Feb-03,20-Sep-62,52,Boomer,Group C,Male,B,Resigned - Career Prospects,Developing/Meets Some,Not assigned,F,Bi-Weekly,F,Hourly,S2011,140,140,18-Oct-14,Voluntary Separation
5438,Active,Operations,Product,Union,Regular Employee FT,,21-Jun-90,18-Sep-62,52,Boomer,Not Assigned,Male,W,,No Rating,No Rating,F,Weekly,F,Hourly,S3442,304,304,,
1445,Active,Finance & IT,Corporate,Non-Union,Regular Employee FT,,10-Jun-80,5-Sep-62,52,Boomer,Group C,Female,W,,Successfully Meets Expectations,Not assigned,F,Monthly,T,Salary,S4994,425,425,,
6006,Active,Support,Product,Non-Union,Regular Employee FT,,28-Jun-91,5-Sep-62,52,Boomer,Group C,Male,W,,Meets & Exceeds,Mastery,F,Bi-Weekly,F,Hourly,S1733,292,292,,
7785,Active,Customer Care,Customer Care,Non-Union,Regular Employee FT,,8-Jul-94,4-Sep-62,52,Boomer,Group C,Male,W,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S1234,256,256,,
9211,Active,Sales,Sales,Non-Union,Regular Employee FT,,12-Mar-96,30-Aug-62,52,Boomer,Group C,Male,W,,Successfully Meets Expectations,Mastery,F,Monthly,T,Salary,S5674,235,235,,
6768,Active,Sales,Sales,Non-Union,Regular Employee FT,,17-Nov-92,27-Aug-62,52,Boomer,Group C,Male,W,,Successfully Meets Expectations,Strong Contributor,F,Monthly,T,Salary,S4884,275,275,,
12377,Active,Operations,Product,Non-Union,Regular Employee FT,,17-Jun-98,20-Aug-62,52,Boomer,Group C,Male,W,,Meets & Exceeds,Not assigned,F,Bi-Weekly,F,Hourly,S673,208,208,,
9624,Active,Operations,Product,Non-Union,Regular Employee FT,,18-Jun-96,18-Aug-62,52,Boomer,Group C,Male,W,,Developing/Meets Some,Not assigned,F,Monthly,T,Salary,S5329,232,232,,
12642,Active,Customer Care,Customer Care,Union,Regular Employee FT,,11-Aug-98,17-Aug-62,52,Boomer,Not Assigned,Male,W,,No Rating,No Rating,F,Weekly,F,Hourly,S3411,207,207,,
2088,Active,Customer Care,Customer Care,Union,Regular Employee FT,,8-Jun-82,15-Aug-62,52,Boomer,Group S,Male,O,,No Rating,No Rating,F,Weekly,F,Hourly,S889,401,401,,
9775,Active,Sales,Sales,Non-Union,Regular Employee FT,,23-Jul-96,11-Aug-62,52,Boomer,Group C,Male,W,,Developing/Meets Some,Not assigned,F,Monthly,T,Salary,S5704,231,231,,
25186,Active,Operations,Product,Non-Union,Regular Employee FT,,3-Aug-05,8-Aug-62,52,Boomer,Group C,Male,W,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Daily,S180,123,123,,
10212,Active,Sales,Sales,Non-Union,Regular Employee FT,,12-Nov-96,26-Jul-62,52,Boomer,Group C,Female,W,,Developing/Meets Some,Not assigned,F,Monthly,T,Salary,S5726,227,227,,
3765,Terminated,Operations,Product,Non-Union,Regular Employee FT,,18-Oct-86,24-Jul-62,52,Boomer,Group C,Male,H,Retirement,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Daily,S32,336,336,21-Oct-14,Voluntary Separation
4062,Active,Operations,Product,Non-Union,Regular Employee FT,,16-Jun-87,22-Jul-62,52,Boomer,Group C,Male,W,,Successfully Meets Expectations,Not assigned,F,Weekly,F,Daily,S653,340,340,,
6806,Active,Manufacturing,Product,Non-Union,Regular Employee FT,,15-Dec-92,21-Jul-62,52,Boomer,Group C,Male,B,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S1832,274,274,,
36449,Active,Support,Product,Non-Union,Regular Employee FT,,22-Jul-09,19-Jul-62,52,Boomer,Group C,Female,W,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S1003,75,75,,
15986,Active,Sales,Sales,Non-Union,Regular Employee FT,,2-Aug-00,17-Jul-62,52,Boomer,Group C,Male,W,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,T,Salary,S4669,183,183,,
5897,Active,Operations,Product,Union,Regular Employee FT,,9-May-91,15-Jul-62,52,Boomer,Group N,Male,W,,No Rating,No Rating,F,Weekly,F,Hourly,S3514,294,294,,
33542,Active,Operations,Product,Non-Union,Regular Employee FT,,17-Sep-08,10-Jul-62,52,Boomer,Group C,Male,W,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Daily,S178,85,85,,
5261,Active,Sales,Sales,Non-Union,Regular Employee FT,,10-Apr-90,8-Jul-62,52,Boomer,Group C,Male,W,,Successfully Meets Expectations,Not assigned,F,Monthly,T,Salary,S5377,307,307,,
1864,Active,Support,Product,Non-Union,Regular Employee FT,,15-Sep-81,6-Jul-62,52,Boomer,Group C,Male,W,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S1436,409,409,,
2880,Active,Sales,Sales,Non-Union,Regular Employee FT,,30-Nov-84,12-Jun-62,53,Boomer,Group C,Male,H,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Daily,S114,371,371,,
36170,Active,Operations,Product,Non-Union,Regular Employee FT,,24-Jun-09,12-Jun-62,53,Boomer,Group C,Male,W,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Daily,S364,76,76,,
3739,Active,Customer Care,Customer Care,Union,Regular Employee FT,,1-Oct-86,7-Jun-62,53,Boomer,Group S,Male,O,,No Rating,No Rating,F,Weekly,F,Hourly,S889,349,349,,
13170,Active,Operations,Product,Union,Regular Employee FT,,15-Dec-98,5-Jun-62,53,Boomer,Group P,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S1269,202,202,,
4324,Active,Manufacturing,Product,Non-Union,Regular Employee FT,,16-Mar-88,26-May-62,53,Boomer,Group C,Male,W,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S1715,331,331,,
8791,Active,Customer Care,Customer Care,Non-Union,Regular Employee FT,,19-Sep-95,25-May-62,53,Boomer,Group C,Male,W,,Developing/Meets Some,Not assigned,F,Monthly,T,Salary,S4587,241,241,,
61552,Active,Manufacturing,Product,Non-Union,Regular Employee FT,,3-Sep-14,25-May-62,53,Boomer,Group C,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S1086,14,14,,
6246,Active,Support,Product,Non-Union,Regular Employee FT,6-Dec-02,7-Nov-91,23-May-62,53,Boomer,Group C,Female,B,,Successfully Meets Expectations,Strong Contributor,T,Monthly,T,Salary,S5459,155,288,,
62846,Active,Operations,Product,Non-Union,Regular Employee FT,,15-Oct-14,20-May-62,53,Boomer,Group C,Male,W,,No Rating,No Rating,F,Weekly,F,Hourly,S1050,12,12,,
3890,Active,Sales,Sales,Union,Regular Employee FT,,24-Mar-87,14-May-62,53,Boomer,Not Assigned,Male,H,,No Rating,No Rating,F,Weekly,F,Hourly,S968,343,343,,
3673,Active,Operations,Product,Union,Regular Employee FT,,14-Aug-86,10-May-62,53,Boomer,Not Assigned,Male,W,,No Rating,No Rating,F,Bi-Weekly,F,Hourly,S1454,350,350,,
35509,Active,HR,Corporate,Non-Union,Regular Employee FT,,5-May-09,10-May-62,53,Boomer,Group C,Male,W,,Meets & Exceeds,Not assigned,F,Bi-Weekly,F,Hourly,S2931,78,78,,
7715,Active,Manufacturing,Product,Non-Union,Regular Employee FT,,8-Jun-94,24-Apr-62,53,Boomer,Group C,Female,W,,Successfully Meets Expectations,Not assigned,F,Monthly,T,Salary,S5573,257,257,,
18485,Active,Sales,Sales,Non-Union,Regular Employee FT,,28-Nov-01,17-Apr-62,53,Boomer,Group C,Male,B,,Developing/Meets Some,Not assigned,F,Bi-Weekly,F,Hourly,S1999,167,167,,
3324,Active,Customer Care,Customer Care,Non-Union,Regular Employee FT,,10-Dec-85,13-Apr-62,53,Boomer,Group C,Male,W,,Successfully Meets Expectations,Not assigned,F,Bi-Weekly,F,Hourly,S1621,359,359,,
52851,Active,Operations,Product,Non-Union,Regular Employee FT,,18-Sep-13,11-Apr-62,53,Boomer,Group C,Male,B,,Developing/Meets Some,Not assigned,F,Bi-Weekly,F,Daily,S258,25,25,,
2730,Active,Support,Product,Union,Regular Employee FT,,17-Jul-84,8-Apr-62,53,Boomer,Not Assigned,Male,H,,No Rating,No Rating,F,Weekly,F,Hourly,S3325,375,375,,
9464,Active,Customer Care,Customer Care,Non-Union,Regular Employee FT,,12-Nov-91,8-Apr-62,53,Boomer,Group R,Male,W,,Successfully Meets Expectations,Strong Contributor,F,Semi-Monthly,T,Salary,S4166,233,287,,
